ano,codigo_ibge,nome_mun,agropecuaria,industria,servicos,admin,bruto_total,impostos,pib,pib_pc
2010,1501907,Bujaru,137622.662,15414.454,25881.54,45493.991,224412.647,3683.989,228096.636,8875.36
2010,1501956,Cachoeira do Piriá,15211.255,3852.204,8875.233,47044.796,74983.487,1689.953,76673.44,2895.96
2010,1502004,Cachoeira do Arari,30564.213,2517.169,8309.642,35884.685,77275.709,1265.292,78541.001,3838.76
2010,1502103,Cametá,135100.725,16655.68,95310.089,213897.084,460963.578,14047.147,475010.725,3928.83
2010,1502152,Canaã dos Carajás,28604.163,1666397.437,281699.632,71831.88,2048533.112,71558.859,2120091.971,79323.98
2010,1502202,Capanema,14267.225,167301.101,239050.906,104113.959,524733.191,76730.57,601463.761,9452.82
2010,1502301,Capitão Poço,65244.5,10783.615,61558.507,85557.507,223144.129,9477.415,232621.543,4482.2
2010,1502400,Castanhal,73235.166,339856.085,808553.76,302949.779,1524594.79,214328.538,1738923.327,10046.01
2010,1502509,Chaves,31099.764,4064.174,5389.078,40470.512,81023.529,1681.468,82704.997,3912.62
2010,1502608,Colares,10250.106,1515.331,7611.524,21446.594,40823.555,1270.783,42094.338,3698.33
2010,1502707,Conceição do Araguaia,41559.127,51222.192,104592.318,78497.586,275871.223,23162.807,299034.029,6567.85
2010,1502756,Concórdia do Pará,40600.143,8161.536,27577.798,55101.608,131441.086,5244.128,136685.214,4843.39
2010,1502764,Cumaru do Norte,76538.009,2187.426,7223.577,20698.433,106647.445,1329.534,107976.979,10305.11
2010,1502772,Curionópolis,37977.678,12079.374,24464.352,34461.621,108983.025,7311.985,116295.01,6356.66
2010,1502806,Curralinho,21242.127,2736.899,11707.199,55457.365,91143.591,1678.816,92822.407,3247.58
2010,1502855,Curuá,52103.268,4235.601,10252.473,25961.862,92553.205,1281.407,93834.611,7652.47
2010,1502905,Curuçá,31402.009,4562.722,25838.047,67452.242,129255.021,3515.744,132770.765,3849.54
2010,1502939,Dom Eliseu,78211.596,29141.934,90268.004,93648.835,291270.369,20561.649,311832.018,6076.46
2010,1502954,Eldorado do Carajás,39856.041,48403.003,36777.614,58425.438,183462.096,16864.027,200326.123,6310.48
2010,1503002,Faro,7453.145,1284.169,4951.68,15200.338,28889.331,631.229,29520.56,3608.43
2010,1503044,Floresta do Araguaia,72779.799,119332.49,35805.834,33798.487,261716.609,9319.375,271035.984,15205.38
2010,1503077,Garrafão do Norte,46680.945,5617.759,16823.304,49732.402,118854.41,2172.122,121026.532,4831.21
2010,1503093,Goianésia do Pará,28888.134,25867.934,45256.652,59835.96,159848.68,10933.033,170781.713,5610.99
2010,1503101,Gurupá,25585.215,3437.388,15833.519,56063.082,100919.203,2824.402,103743.605,3569.98
2010,1503200,Igarapé-Açu,29073.753,9353.214,34387.754,58086.732,130901.452,5917.948,136819.4,3817.19
2010,1503309,Igarapé-Miri,74174.259,9093.57,35824.8,110428.491,229521.12,7561.251,237082.371,4086.01
2010,1503408,Inhangapi,17036.536,4122.573,5955.943,17440.252,44555.304,1330.069,45885.373,4559.36
2010,1503457,Ipixuna do Pará,98362.458,148013.207,44672.874,85994.354,377042.893,10723.877,387766.77,7546.6
2010,1503507,Irituia,22680.176,4172.839,23901.271,51144.103,101898.389,3849.55,105747.939,3369.7
2010,1503606,Itaituba,89087.34,352893.086,228432.771,174533.281,844946.479,61160.045,906106.524,9308.39
2010,1503705,Itupiranga,84692.694,9711.71,46842.142,92631.216,233877.762,7456.63,241334.392,4708.23
2010,1503754,Jacareacanga,14242.489,5273.723,12178.116,65987.264,97681.591,1978.768,99660.359,7098.32
2010,1503804,Jacundá,25303.765,35742.105,89743.545,93616.101,244405.516,18713.844,263119.36,5121.54
2010,1503903,Juruti,83537.252,180630.314,92094.287,99878.364,456140.217,24611.367,480751.584,10202.06
2010,1504000,Limoeiro do Ajuru,128886.361,3304.604,10840.778,48746.542,191778.286,2181.432,193959.718,7749.71
