cod_ibge,nome_mun,sigla_uf,rede_geral_2000,rede_geral_2010,rede_geral_2022,outras_2000,outras_2010,outras_2022
1508084,Tucumã,PA,19.45,41.93,71.75,80.55,58.08,28.25
1508100,Tucuruí,PA,69.71,82.64,84.7,30.29,17.36,15.3
1508126,Ulianópolis,PA,3.62,39.77,73.04,96.39,60.23,26.96
1508159,Uruará,PA,0.29,0.85,3.69,99.71,99.15,96.3
1508209,Vigia,PA,41.17,43.28,45.37,58.82,56.72,54.63
1508308,Viseu,PA,21.37,34.76,31.87,78.64,65.23,68.13
1508357,Vitória do Xingu,PA,9.18,20.67,48.21,90.82,79.34,51.79
1508407,Xinguara,PA,1.76,14.31,36.18,98.24,85.69,63.82
1600055,Serra do Navio,AP,43.6,67.71,74.19,56.4,32.29,25.8
1600105,Amapá,AP,13.49,12.23,31.82,86.51,87.78,68.17
1600154,Pedra Branca do Amapari,AP,5.88,29.85,40.4,94.12,70.15,59.61
1600204,Calçoene,AP,16.25,38.6,20.73,83.75,61.4,79.27
1600212,Cutias,AP,61.06,71.22,84.95,38.94,28.79,15.06
1600238,Ferreira Gomes,AP,53.81,68.57,61.75,46.19,31.43,38.25
1600253,Itaubal,AP,47.25,58.23,64.44,52.75,41.77,35.56
1600279,Laranjal do Jari,AP,80.21,88.25,65.69,19.79,11.75,34.32
1600303,Macapá,AP,53.23,54.17,44.06,46.78,45.84,55.94
1600402,Mazagão,AP,13.81,23.17,23.81,86.18,76.83,76.19
1600501,Oiapoque,AP,23.02,15.16,7.4,76.98,84.84,92.6
1600535,Porto Grande,AP,20.06,19.19,8.68,79.94,80.82,91.32
1600550,Pracuúba,AP,22.82,26.47,15.22,77.19,73.54,84.78
1600600,Santana,AP,54.96,68.92,48.5,45.03,31.06,51.51
1600709,Tartarugalzinho,AP,20.54,31.21,32.46,79.46,68.8,67.54
1600808,Vitória do Jari,AP,57.43,65.36,68.96,42.57,34.64,31.04
1700251,Abreulândia,TO,44.11,56.97,58.81,55.9,43.03,41.19
1700301,Aguiarnópolis,TO,72.74,86.61,86.25,27.26,13.38,13.75
1700350,Aliança do Tocantins,TO,41.69,60.44,67.39,58.31,39.56,32.61
1700400,Almas,TO,56.46,71.14,77.01,43.55,28.86,22.99
1700707,Alvorada,TO,62.43,75.95,79.57,37.57,24.06,20.43
1701002,Ananás,TO,72.78,84.36,80.83,27.22,15.65,19.17
1701051,Angico,TO,73.88,75.65,79.87,26.12,24.35,20.14
1701101,Aparecida do Rio Negro,TO,67.55,75.92,72.45,32.45,24.08,27.54
1701309,Aragominas,TO,36.71,46.19,54.85,63.29,53.81,45.15
1701903,Araguacema,TO,57.26,60.89,61.57,42.74,39.11,38.43
1702000,Araguaçu,TO,39.55,59.49,63.04,60.44,40.5,36.96
1702109,Araguaína,TO,84.42,93.13,94.99,15.58,6.86,5.01
1702158,Araguanã,MA,46.08,39.53,47.29,53.92,60.47,52.71
1702208,Araguatins,TO,56.41,72.62,75.44,43.59,27.37,24.57
1702307,Arapoema,TO,66.92,78.95,80.22,33.08,21.05,19.77
1702406,Arraias,TO,59.05,67.46,66.0,40.94,32.54,34.0
1702554,Augustinópolis,TO,72.28,85.93,90.77,27.72,14.07,9.22
1702703,Aurora do Tocantins,TO,64.06,72.58,69.91,35.94,27.42,30.09
1702901,Axixá do Tocantins,TO,60.54,91.23,93.69,39.46,8.77,6.31
1703008,Babaçulândia,TO,40.33,50.12,53.69,59.67,49.89,46.31
1703057,Bandeirantes do Tocantins,TO,59.0,65.25,68.3,40.99,34.75,31.7
1703073,Barra do Ouro,TO,41.28,65.19,69.41,58.72,34.81,30.6
1703107,Barrolândia,TO,79.11,82.76,80.6,20.89,17.23,19.39
1703206,Bernardo Sayão,TO,45.5,64.14,65.39,54.5,35.86,34.61
1703305,Bom Jesus do Tocantins,TO,49.04,66.86,77.71,50.96,33.14,22.29
1703602,Brasilândia do Tocantins,TO,55.47,85.25,74.89,44.53,14.75,25.11
1703701,Brejinho de Nazaré,TO,48.72,62.06,61.85,51.29,37.94,38.15
1703800,Buriti do Tocantins,TO,83.34,93.25,94.67,16.66,6.75,5.33
1703826,Cachoeirinha,TO,84.56,86.96,86.68,15.44,13.04,13.32
1703842,Campos Lindos,TO,38.48,61.11,72.55,61.53,38.91,27.45
1703867,Cariri do Tocantins,TO,52.56,56.89,60.16,47.44,43.1,39.84
1703883,Carmolândia,TO,0.2,50.3,62.65,99.79,49.69,37.35
1703891,Carrasco Bonito,TO,82.87,86.46,82.11,17.12,13.54,17.88
1703909,Caseara,TO,55.18,52.5,60.65,44.83,47.51,39.35
1704105,Centenário,TO,34.66,58.97,65.93,65.34,41.03,34.06
1704600,Chapada de Areia,TO,39.82,53.08,51.51,60.18,46.91,48.49
1705102,Chapada da Natividade,TO,30.0,45.85,53.99,70.0,54.16,46.01
